indice,estrelas,comentario
36,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Pretty interesting course, learned a lot about natural language processing using differen approaches for different input types. There were some challenges with completing the assignments, but they're managable by checking out the forums for help. Although I might not fully grasp the content material or algorithms, I still learned a lot or at least gain some familiarity through the lectures and assignments. "
37,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Thank you Prof. Andrew Ng and team for these series of courses. The entire specialization was brilliant and the way the programming exercises were structured, using real-life examples was the best part of all. Prof. Andrew Ng always has a smile on his face when he explains the concepts and he is so humble that he thanks us for spending time doing the specialization, whereas it should be the other way round."
38,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I highly recommend this course to all audience. Professor Ng is an outstanding researcher with tremendous amount of experience. Moreover, he is a well-known lecturer in terms of his clear explanation and interesting examples provided in class. I have gained a lot of experience as well as knowledge in the field of deep learning. I am very grateful for his time and effort for providing all the resources here. "
39,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The best online course I've seen anywhere about recurrent neural networks! Prof. Andrew Ng explains everything in such a simple manner. For example, understanding the structure of LSTMs is quite challenging, but Prof. Andrew Ng explains it in a very easy to understand fashion. Likewise with GRUs, Seq2Seq models, bidirectional RNNs, etc. And the code exercises have very beautiful and detailed explanations. 

"
40,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Thanks Professor Andrew Ng and team for the deep learning specialization. The course material was well designed for online learning. The assignments were perfectly manageable with a few hours of investment every week and the learning was very effective. Last but not least, I found Professor Ng's wisdom, insights, tips to be invaluable to anyone regardless of their level of expertise in machine learning."
41,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This was the best course among 5 course specialization. It was well designed, structured and application oriented. Assignments were pretty fun to solve as they involved solving real world problems. This course gave me direct exposure to industry level problems and helped me gain more insights towards the future of deep learning. Because of this I am really excited to continue working in deep learning."
42,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Hello Andrew, I am a big fan of you. Learning from your every course. Very unfortunate that I can do that remotely only. "
43,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The Sequence Models course covers state-of-the-art deep learning methodology as of 2018. The instructor is awesome. The assignments help solidify concepts presented in lecture videos. One nitpicking comment. This course, being relatively new, was less polished compared to the other courses in Deep Learning Specialization. I'm sure future updates will eliminate glitches and errors in the near future."
44,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Good course to help you understand how sequence models work and how to apply them for various problems. Majority of topics are explained quite well. Practical problems sometimes could be a challenge, but every problem has hints and a bit of theory provided. Overall this course was  a very positive experience and I do recommend it. Special thanks for the people who made this course possible."
45,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I liked that this course was a bit harder than others in the specialization (well partly because It felt like notebooks were made in a bit of hurry here) but it was a good thing for me, since I had to think more on the programming excercises, read Keras documentation, derive backprop equations - and I believe such engagement with the topic really allows to understand and remember it better."
46,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"It's been so rewarding to apply what I've learned in the previous courses of the Deep Learning specialization to time-based problems. I feel I have a better understanding of how some of the ""magic"" technology like virtual assistants and speech recognition work. While the material in the first four parts was also very useful, the specialization would have felt incomplete without this course."
47,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Where shall I start...? This module was by far the hardest I made, but I'm really glad I was able to finish it somehow (Searching of my own typos was quite challenging task and I thought my head explodes). Anyway this set of courses is great and I will continue further in my path exploring the world of AI. Thank you guys for the effort you spent to share your knowledge with us. Great job!"
48,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Another outstanding course about Deep Learning.
49,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The course assignments were very interesing and engaging - clearly a lot of time has been invested in them.  The quizzes were not easy but also not too difficult.  The combined quizzes/assignnments helped reinforce the lectures.     As always, the lectures were great.  Perhaps one improvement would be to allocate another week for the transformers as this material was not as well explored."
50,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"It's a great class, and Andrew Ng is a great instructor. I wish the exercises were a bit harder. Since the course is aimed at all and I am coming from a graduate degree in the sciences, I realize it's hard to cater to all educational backgrounds. I would have liked to see optional/honors exercises to get us more involved. Other than that, I loved the class. Thanks so much for teaching it."
51,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Very effective mix of theory and practical examples, cemented by practice exercises in form of the programming assignments.  The guided instructions of the programming assignments are as valuable as the lectures.  I would recommend putting the ""errata"" readings *before* the videos containing the errors (as was done in an earlier course).  I also notice that some quiz questions pick up on nuances that were quite underplayed in the lectures, but going back over my notes, did find them."
52,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Smooth and hands-on walkthrough of basics of NLP and speech recognition. The flow of the course is very well-designed.
53,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Amazing course overall. Prof Ng's diagrams are the clearest explanations of DL models I have found anywhere and it's that clear a ton of thought went into planning the notations. The assignments are exciting and surprisingly fun. One could say that there is a little too much handholding throughout the assignments, but I understand that this course is more about the heuristics. Again, it's fantastic course overall and the resources provided throughout are truly unique to Coursera! "
54,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This was my first AI course and I really made significant progress in my understanding of foundations of deep learning with this. Thanks to Professor Andrew's very informative course videos, grasping the complex concepts became possible. The quizzes and the assignments were challenging, made possible for me to use logic and develop new coding skills to go at it. I would recommend this course to everyone interested in AI/ML. Thanks to Professor Andrew for making this course."
55,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This is an amazing course, it Provides a great Help...i have learned lots n lots of stuff  about NLP, Learn about recurrent neural networks that work extremely well on temporal data, word vector representations and embedding layers --that are explained in a concise manner, and more importantly I love the Attention mechanism, the  model that understand where it should focus...... its attention given a sequence of inputs.... amazing amazing ..highly Recommended.... Thankyou  "
56,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This course was a great introduction to the world of RNNs. Starting from basic sequence models all the way through RNNs constructed with Convolutional layers, LTSM layers, GRU layers and wrapping up with the Attention Algorithm. It is great base work to start a Deep Learning career.  The course is very well structured and the resources in the forums were always life-saving. Very grateful for this course and I am waiting for the Advanced Specialization from Deeplearning.ai "
57,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Really good course for RNNs with NLP. Recommended to anyone who has completed the first four courses of the specialization. A thing to notice is that the last programming assignment is really hard to save and submit to your servers though it was pretty well organized.
58,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I really liked the whole Specialization, it is great: clear and interesting!"
59,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Another Excellent Course from Professor Andrew Ng. The detail in the explanations are excellent, and the provided exercises using Jupyter are super fun to complete and put to the test your knowledge offering you at the same time a library of ideas and models to use in your future projects. I enjoyed this last course in the specialization quite a lot, thanks very much to Andrew Ng and the Staff from Coursera. I hope to see more courses like this in the future.
"
60,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I love this course. Maybe about 1 and half year I was trying to learn DL. I thought about giving up because I wasn't able to learn, so, in May of this year 2020, Coursera opened its courses to undergraduates. I do not thought twice, at the same hour that I knew that news about free courses, I began this. Then, after that time I want to thank to Professor Ng and all colaborators on that site. One day I will be one of student of Professor Andrew Ng in Stanford. "
61,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"A greatly knowledgeable course! I learned a lot about Natural Language Processing and explored RNNs, LSTMs, Word Embeddings, Seq2Seq Models, Attention Mechanism, etc. The course focuses more on the concepts along with providing the essential math. It was fun to implement Language Models, Neural Machine Translation & Speech Recognition. I would surely recommend this course to the ones who are diving into the world of NLP, and need a perfect introduction to it."
62,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"A very systematic and well structured specialization course on deep learning by Andrew and team. The concepts are explained with a focus on intutiveness. The assignments and quizes help in understaind the concepts better and realising them with programming. Coming from zero backgrond of Deep learning to now being confident of using the concepts in my fututure research work, i would like to thank coursera and team Andrew for such a wonderful specialization."
63,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Another very good course, though not without its failings. Mainly, the Transformers' lectures and programming assignment were confusing and didn't go into enough depth to deliver the intuition."
64,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This end course is a little more  complicated than the previous ones, especially in programming homework. However,  it also inherits the merits of the special, gives learners the basic framework of sequence models. What impresses me most is the lesson of ""Debiasing word embeddings"", it shows that AI could be designed to do more against human stale thoughts, which sets up a  good principle for designing AI. Yes, it should be taught to new learners of AI."
65,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I d recommend this course to those who want to find their your paths as they are searching for what it is that makes their life fullfilling. The series of Depp learning specialization made me acquaitned many important technical, some fundumental and some advanced, aspects of AI world and standing here, now, I suppose I can think better about what I'm gonna do in the future."
66,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Finally... Every piece of effort was worth it! After so many hours, now I understand how proud we can fell of completing these amazing courses! The best one I have tried so far, definitely made a difference in my professional views but above all, it confirmed my expectations: this is the activity sector where I want to develop, the work in which I want to grow without any doubt."
67,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This regards all 5 courses of the DL specialisation.
68,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This was the most difficult and most interesting course i had in all of the five deeplearning.ai courses
69,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Will give this course also 5 stars. The assignments were easy but required some knowledge of Keras.  So you have to invest some time on their site.Otherwise it's like fitting  pieces in a bigger puzzle. Most pieces are already layed out for you .. you need to just fit your small ones. 
70,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Course contents and coverage was best. Duration of 3 weeks is little too short to really understand all the details of programming exercises.  May be extend this to 4 to 5 weeks and spend little more time on speech recognition, music generation and other audio data processing would have helped."
71,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"  Wonderful course, expert instruction from Prof. Ng.  I can't recommend the Specialization enough.   "
72,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"RNN, LSTM, GRU... fun stuff even you don't focus on NLP.  As always, Andrew makes complicated things simpler.  I certainly will keep all the course materials for future reference. "
73,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Sequence Models are a though subject. many people, during working meeting, mention them as the final resource and solution to everything.  I feel I better understand the nuances of them thanks to this course."
74,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I go back and forth on whether the time-saving aspects of the Python Notebooks are worth the reduction in ML coding experience. I suppose these aren't coding classes, but I also feel some of the concepts aren't cemented as well as if the students were led through a more challenging, trial-and-error experience. That's hard to do, though."
75,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Immensely grateful for holding this course, specially Prof. Ng. The way he explained the all concept to the mathematical models was very endearing and excellent."
76,Filled Star:Filled Star:Filled Star:Star:Star:,"The first week is amazing. The last week is the worst! Andrew starts nicely; but as he goes to the second and third weeks, he hardly explains why he does what he does."
77,Filled Star:Filled Star:Filled Star:Star:Star:,Week 4 coding exercise is incomparably harder than any other in this entire specialization.  
78,Filled Star:Filled Star:Star:Star:Star:,The transformer subclass programming exercise is super useless task. Spent hours on this task and learnt nothing.  
79,Filled Star:Filled Star:Star:Star:Star:,"If it could improve assignment accuracy, it will be better"
80,Filled Star:Filled Star:Star:Star:Star:,there are a lot of mistakes in programming assignments.
81,Filled Star:Star:Star:Star:Star:,"The course overall taught me new things, but I am still kinda unsure how to exactly use it. "
82,Filled Star:Star:Star:Star:Star:,"Oversimplifying material, such as not showing any math foundations and proofs, does not lead to an intrinsic understanding of the material as well as fill-the-gap assignments do not enhance comprehension. "
83,Filled Star:Star:Star:Star:Star:,"I love Dr. Andrew, I seriously do. He has inspired me in the field of Deep Learning like no one else did. But I detest how this course is made so expensive and in a wrong direction. I subscribed and paid $225 and I still was not given a decent amount of time to finish the course, even when I asked for extension. If this is the way these courses are, its better of learning from youtube. It is not worth the money"
84,Filled Star:Star:Star:Star:Star:,"Dry and uninformative. Immense space for improvement. Corrections should be made to videos instead of having numerous revisions comments after lecture. Some variables introduced haphazardly. Notation not explained well, some clashing with linear algebra conventions. Coding exercises are elementary hyper guided."
85,Filled Star:Star:Star:Star:Star:,Poor submission system. Failed many times to upload and had to redo the assignments. I was using a 250Mbps high speed network. Also course materials are problematic. The instructors are not willing to fix the problems for many years.
86,Filled Star:Star:Star:Star:Star:,Week 4 is impossible to follow both in lecture and in the assignements which is more than likely done intentionally as this is the last assignment before you can stop paying their monthly fee.
87,Filled Star:Star:Star:Star:Star:,"Clearly the less structured and more confusing Course within the DeepLearning Specialization, a bittersweet end to an otherwise great set of courses. Quite disappointed."
88,Filled Star:Star:Star:Star:Star:,Not as good as other 4 courses of the specialization
89,Filled Star:Star:Star:Star:Star:,Programming assignments are completely useless. 
90,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"What to say after spending this whole weeks in the digital company of Andrew? :) Well, I have to words but to thank Andrew and the team for making the effort and putting all this together and pulling it off the way they did! I did already the NLP Specialization of DeepLearning.AI and wanted to learn more about the inner workings of neural nets and I was not a single minute disappointed by my decision! Extremely well done overall! In particular the course on Sequence models is very enjoyable and will give you all the tools and intuition necessary to understand the background and the basis of such models and how they work! You even have a last week on Attention-based models, which is a little bit introductory, given that Attention as a concept exploded after this course was developed. Nevertheless, it is very well executed! My only critique is that, the whole specialization was developed before TensorFlow 2.0, and later on it the assignments were ported and Keras is used. But during the lectures on will not find any introduction to Keras and all this content is left for the assignments. This requires from the student more effort to understand and use Keras. What can be a bit frustrating, because Keras API also evolved during this time. I would suggest adding a couple of videos or ungraded labs in order to teach the student a bit better how to use the framework. But well, this is a minor issue. 5 Stars are for the overall amazing presentation of what is indeed important, the Deep Learning fundamentals. Moreover, Andrews last video is just very much aspiring and a powerful message that everyone in the field should come in contact with! Congrats! I hope the team plan to execute soon an updated version of the specialization in order to incorporate the new advances and to adapt it to the newest DL Framework. Apart from that the theory videos are 5 out of 5. Clear recommendation!"
91,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"A year ago I was basically ""on blank"" in regards of Machine Learning."
92,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This is again a fantastic course and what a nice way to finish the Deep Learning Specialization. It is certainly the most difficult one from the whole specialization and has taken me a lot longer than I planned. This is partially due to the fact that focus is shifted a bit more towards the programming assignments and concepts that are only briefly mentioned in the lectures turn out to be crucial for the assignments. The forum helps a lot, without it I would not have  been able to crack the first week, especially the optional parts of the assignments. There were also a few errors in derivation formulas, that had set me back, but in the end I understood the concepts a lot better and found some nice complementary resources online. And the RNNs are more complex and seem more variable than other network architectures, so that is ok that this course is more difficult. Now I feel that I finally have a good grasp of Deep Learning concepts and have a nice set of skills. And the assignments are super fun and very useful. Thank you Andrew Ng and your team for making such a wonderful content. I teach at the university-level and I can only imagine how much effort goes into preparing such a course and at such a high level of expertise. I encourage everyone to take this specialization, this specialization is the main gem in Coursera, in my opinion.  "
93,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"It is apparent how much thought and effort has been put into creating these courses.  Dr. Ng introduces you to state-of-the-art CNN and Sequence models which are quite complex.  But he expertly presents it to you so that you can focus on the essential aspects and not the details.  In courses 1-3, you might feel like you're being spoon-fed in the assignments but it is really a great approach to ease you into the deep learning field.  In courses 4 and 5, there is less guidance so that you can become more independent and be able to figure things out on your own.  After all, this is how it will be in our future jobs - no more TA's then.  "
94,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"From my perspective as a learner, there're two biggest""disaster"" they may encounter:"
95,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I really enjoyed the course. As usually Andrew and his team of dedicated professionals did a wonderful job of explaining an otherwise very hard material in an accessible way. The distinction of Andrew's classes is that they really give the *intuition* about why a particular approach works. Sure I may forget which particular regularization methods exist, but I will remember *why* and *when* to use regularization. The details can be always looked up elsewhere."
96,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"First of all, I thank Professor Andrew Ng for offering this high quality ""Deep Learning"" specialization. This specialization helped me overall to gain a solid fundamentals and strong intuition about building blocks of Neural Networks. I'm looking forward to have a next level course on top of this track. Thanks again, Sir!"
97,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This review applies to all of the courses in the Deep Learning Specialization. First, I want to thank Professor Ng so much!!! This Deep Learning Specialization was fantastic!! I feel more proud after completing this than I did after finishing the CPA exam!"
98,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"A terrific set of courses that builds deep learning skills in neural networks.  The course guides the student through various time based models to address how speech recognition, music generation, sentiment classification, machine translation, video activity and name entity recognition."
99,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Dear Prof. Andrew, "
100,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"     In the beginning, I found the instructor a little difficult to understand, even though he is very good at explaining complicated concepts simply.  I am sure part of the reason is that I was unfamiliar with the technical terms.  Once I switched on the captioning option, my comprehension improved however I noticed an average of at least one translation error per video and these seemed to be caused by the instructor's accent and were sometimes very interesting errors.  So, I guess the system could use a little more training with the specific AI vocabulary and/or adjusting the context error settings for the subject matter."
101,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great finish to the specialisation. I have learned a lot of the core details of how to proceed with my own Deep Learning projects. My one piece of feedback would be for an intermediary step, that requires more of the programming myself, as a lot of the intricate coding has already been done."
102,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great selection of topics, clear explanations from Dr. Ng, and coding exercises to allow the understanding of the topics. Perhaps I would have liked to see some Time series analysis in the Sequential Networks parts, but even though, it was a great course.
Thank you Dr. Ng and all your team!"
103,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,The course content is very good but the mistakes in the videos are being mentioned after the video. This is making us get confused a bit. It would be good if those errors are mentioned before the video itself so that we can look into that before watching the video and get prepared for that. 
104,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Excellent teaching, materials, and organization! It's great to include state-of-the-art technologies like Transformer and LSTM. I would recommend also teaching some practical skills (like TensorFlow) that students can apply directly in practical programming (beyond the course assignments)."
105,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great appreciation to Dr. Andrew Ng. The course has been incredibly well taught. Thank you so much for your enlightening lectures. I very much enjoyed the course, and I think it is very well structured and organized. The forum was very helpful when I got stuck in the programming exercises. "
106,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"It is a great course, and the same applies to the whole Deep Learning Specialisation. It is  very nice to see that many people all around the world can relatively easily get access to these learning materials as well as to the problem exercises. Thank you for making it widely available !"
107,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I am amazed with the learning experience of Seq2Seq Modules created by deeplearning.ai team! Loved the way it's taught by Andrew Ng and the hands on experience helped the mentee very well. Keep building such courses, would like to contribute more in this space as in research or products."
108,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Insightful detail on model architectures and how they influence (and are influenced by) data generation for sequence-based applications. For those that have grasped the theory behind DNNs and are interested in applying ML to language and text, I highly recommend checking out this course!"
109,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great course, well explained. Sometimes the course material gets a bit too general but this is done when the details would be unbearable to cover. The overview of all the machine learning conepts is an amazing start for purusing anything deep learning related in my novice point of view."
